"","Provider.ID","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_Score","READM_30_AMI_score","READM_30_CABG_score","READM_30_COPD_score","READM_30_HF_score","READM_30_HIP_KNEE_score","READM_30_HOSP_WIDE_score","READM_30_PN_score","READM_30_STK_score","HAI_1_SIR","HAI_2_SIR","HAI_3_SIR","HAI_4_SIR","HAI_5_SIR","HAI_6_SIR","COMP_HIP_KNEE_Score","PSI_90_SAFETY_Score","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean","OP_10","OP_11","OP_13","OP_14","OP_8","ED_1b_Score","ED_2b_Score","OP_18b_Score","OP_20_Score","OP_21_Score","OP_3b_Score","OP_5_Score","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"1",10001,1.145,-0.815,-0.506,0.239,0.426,-0.232,-1.368,0.407,-0.615,-0.955,0.293,-0.769,0.215,-1.003,-0.035,-2.351,-2.088,-1.135,1.018,0.647,0.057,-1.355,1.211,-0.854,-0.52,0.046,-1.201,-0.604,-0.416,0.027,0.166,0.084,0.969,0.452,0.251,0.389,-1.2,0.207,0.3,0.098,-0.874,-0.319,-1.813,-2.675,NA,NA,NA,0.57,-0.047,-1.435,NA,NA,0.568,NA,0.767,0.036,1.123,0.865,0.494,0.588,0.921,0.58,0.902,0.609
"2",10005,-1.382,NA,-0.19,-0.327,-2.349,-0.287,-1.5,0.2,NA,1.478,-0.012,-1.674,0.821,0.486,-0.465,-1.023,0.05,0.723,NA,-0.457,0.798,0.074,0.23,-1.113,-0.127,0.861,-0.29,0.169,0.285,0.31,-0.184,0.392,0.577,0.223,-0.423,-1.204,-0.305,-0.649,-0.378,0.387,-0.907,0.848,0.197,-0.483,NA,1.418,NA,0.641,0.06,-0.767,0.903,0.927,0.875,1.021,0.681,NA,1.218,0.404,-1.429,0.52,0.691,-1.53,-1.096,NA
"3",10006,-1.887,-0.794,-0.098,-0.345,-0.763,-1.594,-1.57,0.82,-0.704,0.41,0.782,-0.618,0.215,-0.485,0.395,0.389,-0.357,0.818,NA,-0.312,0.589,-1.355,-0.116,-1.113,-0.127,0.861,-0.518,-0.217,-0.182,-1.103,-0.534,-1.151,0.577,-0.922,-0.277,-0.245,2.33,-0.97,-0.782,0.677,-0.965,0.612,1.585,-0.368,NA,NA,NA,-2.254,0.274,0.792,NA,0.219,0.735,NA,0.767,NA,1.218,0.781,0.605,0.622,0.46,0.323,0.974,0.609
"4",10007,NA,NA,-0.506,-0.126,-1.028,-0.886,NA,NA,NA,0.351,0.477,NA,-1.237,-0.097,-0.035,NA,1.054,NA,NA,NA,1.585,NA,0.576,0.442,-0.127,1.676,0.392,0.556,0.752,-0.255,0.166,-0.533,1.752,-0.464,-1.498,-0.502,NA,NA,NA,0.654,-0.874,0.818,-0.377,-2.214,NA,-0.834,NA,0.641,-1.545,0.792,NA,-1.819,-1.694,0.425,NA,NA,-0.966,-0.31,NA,0.588,0.921,NA,NA,NA
"5",10008,NA,NA,-0.302,0.185,0.338,NA,NA,NA,NA,0.766,-0.744,NA,-0.148,0.745,NA,NA,NA,NA,NA,NA,0.449,NA,-0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,NA,NA,1.171,NA,1.088,-0.725,-2.371,0.197,0.152,NA,NA,NA,0.5,-2.08,0.792,NA,1.046,1.014,NA,NA,NA,NA,NA,NA,0.655,NA,NA,NA,NA
"6",10011,0.134,-0.686,-0.153,-0.016,-0.631,1.293,-1.121,-0.833,-0.526,0.529,1.88,-0.769,0.336,0.292,0.825,-0.034,0.184,-0.582,1.018,0.118,0.226,-1.176,-0.577,-1.631,-0.52,0.046,-0.746,-0.604,-1.117,-0.255,-0.184,-0.225,0.186,-0.235,0.642,-1.238,NA,-0.328,0.574,-0.091,-0.907,0.272,-1.239,-1.291,NA,NA,NA,0.076,-1.545,-0.989,-2.538,0.425,-0.661,NA,0.767,-1.227,NA,0.487,-0.874,-0.696,-0.462,-0.707,-1.096,-0.781
"7",10012,-1.959,NA,-0.487,0.221,-4.519,-0.45,NA,0.82,NA,0.766,-0.927,NA,0.336,-1.456,-0.096,NA,1.054,NA,NA,NA,1.148,0.432,-0.058,-0.335,0.267,0.861,-0.063,0.169,-0.416,0.31,-0.883,0.084,0.577,-0.693,0.28,-1.306,0.788,NA,NA,0.988,-0.692,0.804,-0.186,-0.425,NA,1.675,NA,-2.254,0.435,-0.767,0.378,-1.73,-1.611,-1.304,0.337,NA,NA,0.697,-1.429,0.655,0.875,0.786,-1.096,NA
"8",10016,-0.443,-0.664,-0.283,-0.053,0.162,-0.45,-1.059,-0.833,-1.236,1.538,0.232,-0.618,1.063,0.033,0.15,0.344,0.281,0.301,NA,-0.676,0.113,0.432,0.519,-2.149,-0.914,0.046,-1.201,-0.217,-0.182,-0.255,-0.184,0.084,0.382,-0.006,-2.192,0.286,-0.007,-0.435,0.343,-0.359,-1.105,-0.422,0.006,-1.233,NA,NA,NA,0.606,-0.314,-0.767,NA,0.78,-1.611,NA,-0.266,NA,1.218,0.823,0.901,0.622,0.921,-1.53,1.152,0.609
"9",10018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,NA,0.951,0.532,NA,NA,NA,NA,-1.583,-0.903,1.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.215,NA,NA,NA,NA
"10",10019,-1.093,NA,-0.394,0.148,-1.16,-0.232,0.075,NA,NA,-2.083,-0.317,0.739,-0.39,-0.744,-0.526,-0.308,0.858,0.677,NA,-0.914,0.864,2.219,-0.519,-1.113,-0.52,0.453,-0.746,-0.604,0.051,-0.538,-0.534,0.084,0.969,0.452,-1.176,0.406,NA,-0.863,0.256,0.999,-0.808,0.877,0.388,-0.598,0.413,0.196,NA,0.606,0.007,0.792,NA,0.278,-1.611,1.021,-2.248,NA,0.174,0.404,0.161,0.52,0.691,-1.53,-1.096,NA
