"","Provider.ID","Score.READM_30_AMI","Score.READM_30_CABG","Score.READM_30_COPD","Score.READM_30_HF","Score.READM_30_HIP_KNEE","Score.READM_30_HOSP_WIDE","Score.READM_30_PN","Score.READM_30_STK"
"1",10001,-0.408635919553653,0.614856755914757,0.866787753320474,-0.370372518621821,0.884008345596638,-0.215383465747149,1.10534699408009,0.124545161624438
"15",10005,-0.199927656508895,NA,-1.57433523130176,-0.036448081073741,1.96807964861614,-0.820555650863324,-0.495579619901034,0.776968826076594
"29",10006,-0.826052445643169,0.703594514251527,-0.156908982166268,-0.904651618698747,0.703329795093389,-0.215383465747149,0.548502954434483,-0.527878502827717
"43",10007,NA,NA,-0.0781630794365205,-0.570727181150667,NA,1.23702977853167,0.130869924700278,0.124545161624438
"57",10008,NA,NA,-0.629384398544765,0.764970569041652,NA,0.147719845322554,-0.774001639723837,NA
"71",10011,0.843613658714897,0.526118997577987,-0.314400787625766,-1.43893071877567,0.884008345596638,-0.336417902770384,-0.28676310503393,-1.18030216727987
"85",10012,-0.826052445643169,NA,-0.629384398544765,0.965325231570498,NA,-0.336417902770384,1.59258552877,0.217748542260461
"99",10016,0.843613658714897,1.23602106427215,-1.65308113403151,-0.303587631112204,0.703329795093389,-1.0626245249098,-0.00834108521112393,-0.155064980283628
"113",10018,NA,NA,NA,NA,NA,NA,NA,NA
"127",10019,NA,NA,2.36295990518571,0.297476356474339,-0.922777159435857,0.389788719369025,0.826924974257289,0.870172206712616
"141",10021,NA,NA,-0.0781630794365205,-0.437157406131435,0.884008345596638,-0.941590087886559,-0.495579619901034,NA
"155",10022,NA,NA,-0.629384398544765,-0.437157406131435,NA,-0.457452339793621,-1.26124017441374,NA
"169",10023,1.26103018480442,1.05854554759861,-0.393146690355517,0.898540344060884,0.161294143583641,0.0266854082993196,1.03574148912439,1.14978234862068
"183",10024,1.05232192175966,-0.361258585789714,-2.20430245313975,-1.9732098188526,0.52265124459014,-0.578486776816855,-0.147552095122528,0.404155303532505
"197",10029,-0.0955735249865146,-1.6035872025045,-0.629384398544765,0.831755456551267,2.32943674962264,-0.457452339793621,-0.913212649635239,-0.434675122191695
"211",10032,NA,NA,-1.10185981492326,-0.236802743602587,NA,-0.820555650863324,-0.565185124856733,NA
"225",10033,1.15667605328204,-0.361258585789714,-0.0781630794365205,1.16567989409935,1.96807964861614,1.11599534150843,1.03574148912439,3.20025672261317
"239",10034,NA,NA,0.0793287260229804,-0.170017856092972,NA,-1.0626245249098,-0.913212649635239,0.124545161624438
"253",10035,-0.721698314120792,NA,-0.156908982166268,0.564615906512804,-0.0193844069196096,0.147719845322554,-0.356368609989629,-0.0618615996476058
"267",10036,NA,NA,-0.156908982166268,0.965325231570498,-1.28413426044236,0.994960904485198,0.0612644197445757,-0.0618615996476058
"281",10038,0.843613658714897,NA,0.236820531482478,1.36603455662819,0.161294143583641,0.389788719369025,0.409291944523081,0.870172206712616
"295",10039,-0.617344182598411,-0.627471860800025,-0.629384398544765,-0.303587631112204,0.34197269408689,-0.457452339793621,0.130869924700278,-0.24826836091965
"309",10040,0.217488869580624,1.41349658094569,-0.235654884896019,-0.637512068660284,3.77486515364863,0.389788719369025,0.618108459390185,0.497358684168527
"323",10044,NA,NA,-0.786876204004263,-0.771081843679515,NA,-0.820555650863324,-1.33084567936945,NA
"337",10045,NA,NA,1.33926316969897,0.163906581455107,NA,0.389788719369025,1.8014020436371,-1.2735055479159
"351",10046,1.05232192175966,-0.183783069116175,1.02427955877997,0.230691468964724,0.34197269408689,0.0266854082993196,0.27008093461168,0.124545161624438
"365",10047,NA,NA,0.000582823293229964,NA,NA,0.268754282345791,0.687713964345887,NA
"379",10049,NA,NA,1.02427955877997,0.364261243983956,-0.561420058429358,-1.0626245249098,-0.913212649635239,-0.155064980283628
"393",10051,NA,NA,0.315566434212226,-0.570727181150667,NA,-0.820555650863324,-0.217157600078228,NA
"407",10052,NA,NA,-0.708130301274513,-0.303587631112204,NA,-1.18365896193303,0.27008093461168,NA
"421",10055,-0.93040657716555,-0.982422894147105,-1.73182703676125,-1.03822139371798,0.52265124459014,-0.820555650863324,-1.53966219423655,-0.155064980283628
"435",10056,0.00878060653586248,1.76844761429277,0.315566434212226,0.364261243983956,0.884008345596638,-0.457452339793621,-0.704396134768135,1.98861277434488
"449",10058,NA,NA,NA,NA,NA,-0.215383465747149,0.548502954434483,NA
"463",10059,NA,NA,-0.629384398544765,0.230691468964724,NA,-1.18365896193303,-1.40045118432515,0.497358684168527
"477",10061,NA,NA,-0.629384398544765,0.431046131493573,-0.0193844069196096,0.147719845322554,-0.704396134768135,1.42939249052875
"491",10062,NA,NA,-0.944368009463761,-0.771081843679515,NA,-0.457452339793621,-0.28676310503393,NA
"505",10065,-0.93040657716555,NA,-2.51928606405875,-0.637512068660284,1.96807964861614,0.389788719369025,0.478897449478783,0.497358684168527
"519",10069,NA,NA,0.551804142401475,-0.704296956169901,NA,-0.457452339793621,-0.774001639723837,-0.24826836091965
"533",10073,NA,NA,-0.393146690355517,-0.637512068660284,NA,-0.215383465747149,-0.425974114945332,NA
"547",10078,0.947967790237278,1.14728330593538,-2.2830483558695,-1.17179116873721,2.87147240113238,-0.578486776816855,-0.147552095122528,-0.434675122191695
"561",10079,NA,NA,1.26051726696922,0.631400794022418,-0.561420058429358,0.51082315639226,1.17495249903579,0.590562064804549
"575",10083,-0.408635919553653,NA,-2.12555655041,-0.236802743602587,1.60672254760964,-0.215383465747149,0.826924974257289,-0.0618615996476058
"589",10085,0.63490539567014,NA,0.630550045131225,-0.170017856092972,-0.561420058429358,-1.18365896193303,0.618108459390185,-0.24826836091965
"603",10086,NA,NA,1.33926316969897,-0.303587631112204,NA,0.147719845322554,-1.12202916450234,-0.155064980283628
"617",10087,NA,NA,0.315566434212226,-0.103232968583356,NA,0.994960904485198,NA,1.61579925180079
"631",10089,0.947967790237278,NA,1.18177136423947,0.564615906512804,0.34197269408689,0.0266854082993196,-0.425974114945332,0.124545161624438
"645",10090,1.05232192175966,-0.804947377473565,0.473058239671727,-0.637512068660284,0.161294143583641,-0.0943490287239149,2.35824608328271,1.33618910989273
"659",10091,NA,NA,-0.393146690355517,-0.637512068660284,NA,-0.699521213840089,-1.05242365954664,NA
"673",10092,1.88715497393869,-0.538734102463254,-0.156908982166268,0.564615906512804,1.60672254760964,0.631857593415496,1.3141635089472,0.683765445440573
"687",10095,NA,NA,NA,NA,NA,0.147719845322554,-0.356368609989629,NA
"701",10097,NA,NA,0.0793287260229804,0.0303368064358759,NA,-0.336417902770384,-0.356368609989629,NA
"715",10099,NA,NA,1.33926316969897,-0.704296956169901,NA,0.268754282345791,-0.217157600078228,0.217748542260461
"729",10100,-1.45217723477745,-1.24863616915742,-2.20430245313975,-0.570727181150667,-0.0193844069196096,-0.820555650863324,-0.425974114945332,-1.92592921236805
"743",10101,NA,NA,-0.471892593085267,0.831755456551267,NA,0.389788719369025,0.27008093461168,0.0313417809884161
"757",10102,NA,NA,NA,NA,NA,-0.0943490287239149,-0.982818154590941,NA
"771",10103,0.843613658714897,2.38961192265016,0.0793287260229804,0.163906581455107,-0.200062957422858,-0.0943490287239149,-1.47005668928085,0.590562064804549
"785",10104,-1.24346897173269,-0.00630755244263346,0.788041850590723,-1.03822139371798,1.06468689609989,-0.336417902770384,0.826924974257289,0.590562064804549
"799",10108,NA,NA,-1.02311391219351,0.297476356474339,NA,-1.18365896193303,0.548502954434483,-0.434675122191695
"813",10109,NA,NA,1.41800907242872,0.0971216939454928,NA,0.268754282345791,-0.565185124856733,NA
"827",10110,NA,NA,0.473058239671727,-0.303587631112204,NA,1.3580642155549,0.548502954434483,NA
"841",10112,NA,NA,-0.865622106734014,-0.170017856092972,NA,-0.699521213840089,1.59258552877,NA
"855",10113,-0.0955735249865146,-0.183783069116175,1.89048448880721,0.764970569041652,0.884008345596638,0.994960904485198,1.24455800399149,2.26822291625295
"869",10114,0.00878060653586248,NA,-1.73182703676125,0.0303368064358759,-0.200062957422858,-0.699521213840089,-0.147552095122528,-0.527878502827717
"883",10118,1.78280084241631,NA,-1.9680647449505,1.09889500658973,NA,-0.457452339793621,0.339686439567382,2.26822291625295
"897",10120,NA,NA,0.315566434212226,-1.03822139371798,NA,0.752892030438729,1.59258552877,-0.341471741555673
"911",10125,NA,NA,-2.2830483558695,-0.236802743602587,NA,-2.27296889514214,-2.65335027352777,0.310951922896483
"925",10126,NA,NA,0.945533656050221,1.16567989409935,0.34197269408689,-0.336417902770384,-0.913212649635239,-0.24826836091965
"939",10128,NA,NA,-1.25935162038276,0.0303368064358759,NA,-0.0943490287239149,-0.077946590166826,NA
"953",10129,NA,NA,0.788041850590723,0.297476356474339,NA,1.47909865257814,-0.00834108521112393,1.14978234862068
"967",10130,NA,NA,-0.550638495815015,0.631400794022418,NA,0.752892030438729,2.21903507337131,0.124545161624438
"981",10131,0.73925952719252,NA,-0.865622106734014,1.09889500658973,0.34197269408689,0.0266854082993196,-0.425974114945332,-0.0618615996476058
"995",10138,NA,NA,NA,NA,NA,0.389788719369025,NA,NA
"1009",10139,0.530551264147759,0.969807789261838,0.945533656050221,-0.837866731189132,0.703329795093389,0.147719845322554,0.896530479212989,1.61579925180079
"1023",10144,1.57409257937155,0.792332272588298,0.000582823293229964,0.631400794022418,0.34197269408689,0.147719845322554,0.826924974257289,1.61579925180079
"1037",10146,NA,NA,0.236820531482478,-0.236802743602587,NA,-0.457452339793621,1.17495249903579,NA
"1051",10148,NA,NA,0.866787753320474,-0.103232968583356,NA,-0.215383465747149,0.130869924700278,0.683765445440573
"1065",10149,-0.199927656508895,NA,-0.156908982166268,0.0971216939454928,NA,-1.66779671002597,-0.00834108521112393,0.217748542260461
"1079",10150,NA,NA,-1.41684342584226,-0.103232968583356,-0.200062957422858,-0.457452339793621,0.409291944523081,NA
"1093",10157,NA,NA,0.866787753320474,0.431046131493573,-0.922777159435857,-0.0943490287239149,1.24455800399149,0.310951922896483
"1107",10158,NA,NA,0.236820531482478,0.497831019003187,1.42604399710639,0.631857593415496,2.56706259814982,0.217748542260461
"1121",10164,-0.617344182598411,NA,-0.629384398544765,-0.036448081073741,1.96807964861614,-0.215383465747149,0.27008093461168,0.124545161624438
"1135",10168,NA,NA,-0.393146690355517,NA,-0.742098608932607,0.752892030438729,-0.425974114945332,NA
"1149",10169,NA,NA,-0.314400787625766,-0.570727181150667,NA,-0.820555650863324,0.27008093461168,0.404155303532505
"1163",11300,NA,NA,NA,NA,NA,-0.215383465747149,NA,NA
"1177",11302,NA,NA,-0.235654884896019,NA,NA,-0.457452339793621,0.200475429655977,NA
"1191",11304,NA,NA,NA,NA,NA,0.0266854082993196,-0.843607144679538,NA
"1205",11305,NA,NA,-0.708130301274513,0.0971216939454928,NA,0.0266854082993196,-0.774001639723837,NA
"1219",13300,NA,NA,NA,NA,NA,NA,NA,NA
"1233",13301,NA,NA,NA,NA,NA,NA,NA,NA
"1247",20001,-1.6608854978222,-1.15989841082065,0.0793287260229804,-1.63928538130452,-0.200062957422858,-2.75710664323508,-2.16611173883786,-2.39194611554816
"1261",20006,0.947967790237278,NA,0.315566434212226,-0.771081843679515,1.42604399710639,-0.457452339793621,0.0612644197445757,0.590562064804549
"1275",20008,NA,NA,-1.33809752311251,0.230691468964724,-0.380741507926107,-0.336417902770384,-0.634790629812435,-0.341471741555673
"1289",20012,-1.24346897173269,NA,0.551804142401475,-0.704296956169901,-1.10345570993911,-1.18365896193303,-1.05242365954664,0.497358684168527
"1303",20017,-0.304281788031272,-0.0950453107794033,0.236820531482478,-1.17179116873721,1.06468689609989,-1.54676227300273,-1.47005668928085,-0.807488644735784
"1317",20018,NA,NA,-0.471892593085267,-0.771081843679515,NA,-1.18365896193303,-0.565185124856733,NA
"1331",20026,-0.512990051076034,NA,-0.708130301274513,1.23246478160896,-0.200062957422858,0.0266854082993196,0.687713964345887,0.124545161624438
"1345",21303,NA,NA,NA,NA,NA,0.147719845322554,NA,NA
"1359",21306,NA,NA,-0.314400787625766,NA,NA,-0.457452339793621,-0.634790629812435,NA
"1373",21308,NA,NA,NA,NA,NA,-0.578486776816855,-0.425974114945332,NA
"1387",21309,NA,NA,NA,NA,NA,-0.215383465747149,0.339686439567382,NA
"1401",21310,NA,NA,NA,NA,NA,NA,NA,NA
"1415",21311,NA,NA,-0.235654884896019,NA,0.34197269408689,-0.336417902770384,-0.077946590166826,NA
"1429",30001,NA,NA,1.02427955877997,-0.370372518621821,NA,0.51082315639226,-0.077946590166826,-0.0618615996476058
"1443",30002,0.113134738058243,-0.00630755244263346,-0.629384398544765,-0.971436506208363,-0.380741507926107,0.147719845322554,-0.077946590166826,-0.900692025371806
"1457",30006,0.00878060653586248,1.23602106427215,-0.944368009463761,-0.437157406131435,-1.10345570993911,-0.941590087886559,-1.67887320414795,-0.0618615996476058
"1459",20024,NA,NA,0.000582823293229964,1.36603455662819,1.24536544660314,0.389788719369025,-0.495579619901034,0.0313417809884161
"1473",21301,NA,NA,NA,NA,NA,-0.336417902770384,NA,NA
"1487",21302,NA,NA,NA,NA,NA,NA,NA,NA
"1501",21304,NA,NA,NA,NA,NA,NA,NA,NA
"1515",21305,NA,NA,NA,NA,NA,-0.215383465747149,NA,NA
"1529",21307,NA,NA,NA,NA,NA,NA,NA,NA
"1543",21312,NA,NA,0.158074628752728,NA,NA,0.147719845322554,NA,NA
"1557",21313,NA,NA,-0.235654884896019,0.0303368064358759,NA,-0.336417902770384,-0.28676310503393,NA
"1583",30007,-0.512990051076034,NA,-1.73182703676125,-2.24034936889107,-0.0193844069196096,-2.75710664323508,-0.356368609989629,-1.18030216727987
"1597",30010,-0.826052445643169,-1.95853823585158,0.866787753320474,-2.3739191439103,-0.561420058429358,-0.820555650863324,-0.00834108521112393,-1.64631907045998
"1611",30011,0.321843001103001,NA,-1.02311391219351,-0.303587631112204,-1.28413426044236,-1.90986558407244,-0.077946590166826,0.497358684168527
"1625",30012,-0.512990051076034,2.65582519766047,-0.235654884896019,-0.370372518621821,-0.922777159435857,0.389788719369025,-0.217157600078228,-2.57835287682021
"1639",30013,0.321843001103001,-0.804947377473565,0.945533656050221,-1.10500628122759,0.52265124459014,0.631857593415496,1.6621910337257,-0.341471741555673
"1653",30014,-0.199927656508895,0.881070030925068,0.315566434212226,-0.570727181150667,-0.0193844069196096,-0.578486776816855,-1.40045118432515,-0.0618615996476058
"1667",30016,-0.721698314120792,NA,0.0793287260229804,1.76674388168589,0.161294143583641,-0.578486776816855,-0.356368609989629,0.124545161624438
"1681",30022,NA,NA,NA,0.698185681532035,NA,-0.941590087886559,-0.913212649635239,NA
"1695",30023,-0.304281788031272,-0.183783069116175,-1.10185981492326,-1.37214583126606,-1.64549136144885,-2.39400333216538,-2.09650623388216,-0.993895406007828
"1709",30024,0.113134738058243,0.969807789261838,0.394312336941977,-0.771081843679515,NA,-0.336417902770384,-0.425974114945332,-0.993895406007828
"1723",30030,-0.826052445643169,-0.361258585789714,-0.314400787625766,-0.103232968583356,0.34197269408689,0.631857593415496,0.339686439567382,-0.527878502827717
"1737",30033,-0.304281788031272,NA,0.315566434212226,-0.437157406131435,1.06468689609989,-0.336417902770384,0.478897449478783,-0.434675122191695
"1751",30036,-0.0955735249865146,-1.15989841082065,-1.65308113403151,-1.57250049379491,-0.380741507926107,-1.30469339895626,-1.60926769919225,-0.341471741555673
"1765",30037,0.113134738058243,-0.982422894147105,0.236820531482478,0.163906581455107,-0.561420058429358,-1.0626245249098,-0.982818154590941,NA
"1779",30038,0.73925952719252,-0.627471860800025,0.0793287260229804,-0.370372518621821,0.52265124459014,-0.0943490287239149,-0.077946590166826,1.05657896798466
"1793",30043,0.947967790237278,NA,-0.944368009463761,0.564615906512804,0.161294143583641,0.0266854082993196,0.409291944523081,0.776968826076594
"1807",30055,0.113134738058243,0.437381239241217,0.236820531482478,1.90031365670512,0.161294143583641,1.60013308960137,3.26311764770683,0.590562064804549
"1821",30061,-0.617344182598411,-0.449996344126484,0.158074628752728,-0.236802743602587,-0.380741507926107,-1.4257278359795,-0.00834108521112393,0.217748542260461
"1835",30062,-0.93040657716555,NA,-0.944368009463761,-1.90642493134299,-0.561420058429358,-2.03090002109567,-1.81808421405935,-1.08709878664385
"1849",30064,0.947967790237278,0.526118997577987,1.18177136423947,-0.771081843679515,-1.46481281094561,0.51082315639226,0.0612644197445757,-0.527878502827717
"1863",30065,-0.512990051076034,0.526118997577987,1.73299268334771,0.0303368064358759,0.703329795093389,0.631857593415496,0.339686439567382,0.217748542260461
"1877",30068,NA,NA,-0.314400787625766,0.297476356474339,0.161294143583641,-0.820555650863324,-0.356368609989629,NA
"1891",30069,0.217488869580624,-0.183783069116175,0.473058239671727,0.0303368064358759,1.24536544660314,0.51082315639226,-1.12202916450234,0.590562064804549
"1905",30071,NA,NA,NA,1.63317410666666,NA,0.51082315639226,0.687713964345887,NA
"1919",30073,NA,NA,NA,0.431046131493573,0.34197269408689,-0.578486776816855,-0.495579619901034,NA
"1933",30074,NA,NA,NA,NA,NA,0.147719845322554,NA,NA
"1947",30077,NA,NA,NA,NA,NA,NA,NA,NA
"1961",30078,NA,NA,NA,NA,NA,-0.578486776816855,-0.495579619901034,NA
"1975",30083,-0.826052445643169,NA,-0.629384398544765,0.230691468964724,-0.200062957422858,0.752892030438729,1.24455800399149,NA
"1989",30084,NA,NA,NA,-0.036448081073741,NA,0.51082315639226,1.17495249903579,NA
"2003",30085,-0.93040657716555,-0.449996344126484,-1.10185981492326,-1.17179116873721,0.34197269408689,-0.699521213840089,0.0612644197445757,0.0313417809884161
"2017",30087,-0.93040657716555,-0.272520827452945,-1.25935162038276,0.230691468964724,-0.561420058429358,-0.699521213840089,-0.982818154590941,-1.64631907045998
"2031",30088,0.530551264147759,NA,-2.04681064768025,-0.036448081073741,0.703329795093389,-1.54676227300273,0.0612644197445757,-0.434675122191695
"2045",30089,-0.93040657716555,0.614856755914757,0.000582823293229964,-1.10500628122759,0.884008345596638,-0.941590087886559,-0.147552095122528,-1.08709878664385
"2059",30092,-0.721698314120792,-0.627471860800025,0.630550045131225,1.29924966911858,-0.200062957422858,0.0266854082993196,0.27008093461168,-0.0618615996476058
"2073",30093,-1.13911484021031,NA,-0.471892593085267,-1.23857605624683,1.60672254760964,-1.54676227300273,-0.147552095122528,-1.55311568982396
"2087",30094,-0.408635919553653,0.171167964230906,-0.235654884896019,-0.570727181150667,-0.200062957422858,-0.215383465747149,-1.19163466945804,-0.714285264099761
"2101",30101,0.843613658714897,NA,-0.235654884896019,1.63317410666666,1.06468689609989,1.11599534150843,0.478897449478783,-0.155064980283628
"2115",30103,-2.28701028695648,-0.627471860800025,-1.88931884222075,-2.44070403141991,-1.8261699119521,-1.90986558407244,-1.47005668928085,-1.45991230918794
"2129",30105,-2.28701028695648,-1.24863616915742,-0.944368009463761,-2.3739191439103,NA,-1.7888311470492,-0.217157600078228,NA
"2143",30107,NA,NA,NA,NA,-0.561420058429358,-1.18365896193303,NA,NA
"2157",30108,NA,NA,NA,NA,1.42604399710639,-0.215383465747149,NA,NA
"2171",30110,2.09586323698345,1.23602106427215,0.158074628752728,-0.303587631112204,NA,-0.578486776816855,-0.00834108521112393,1.33618910989273
"2185",30111,0.63490539567014,NA,0.158074628752728,-0.904651618698747,NA,0.389788719369025,-0.843607144679538,0.497358684168527
"2199",30112,NA,NA,NA,NA,2.87147240113238,1.47909865257814,NA,NA
"2213",30113,NA,NA,NA,NA,NA,0.0266854082993196,-0.28676310503393,NA
"2227",30114,-0.0955735249865146,NA,-0.0781630794365205,-0.637512068660284,-1.64549136144885,-0.215383465747149,-0.495579619901034,-0.24826836091965
"2241",30115,-0.408635919553653,-0.272520827452945,-0.944368009463761,-0.837866731189132,0.884008345596638,-0.578486776816855,-0.425974114945332,0.590562064804549
"2255",30117,-0.93040657716555,NA,-0.393146690355517,0.831755456551267,0.161294143583641,-0.215383465747149,0.757319469301587,0.124545161624438
"2269",30118,0.321843001103001,NA,-0.550638495815015,-0.437157406131435,-0.742098608932607,-1.4257278359795,0.896530479212989,-0.621081883463739
"2283",30119,-0.408635919553653,NA,0.236820531482478,0.163906581455107,0.34197269408689,0.268754282345791,0.757319469301587,-0.24826836091965
"2297",30120,NA,NA,NA,NA,NA,1.11599534150843,0.0612644197445757,NA
