"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"1",10001,NA,0.468143653748982,0.201274907783701,-0.908294711350247,NA,NA,0.633228471269229,NA,0.672952925672987,0.675823227445992,1.01942600385691,0.702608871449727,0.644356602526722,0.495356383689743,0.778623632591174,0.623252134192639,0.890348095037429,0.546524719800451
"44",10005,NA,0.483090081386879,0.237886959039563,-0.111722762852864,0.589450106085843,0.714259098472425,0.712900769526228,0.768247572607562,0.666902454991369,NA,1.02293477692953,0.62964448562295,-1.4935155093013,0.481142581263492,0.749302633267596,-1.63237690108392,-1.14779237745878,NA
"87",10006,NA,-2.37665973999749,0.274499010295424,0.706378157225529,NA,0.512165946380169,0.673064620397729,NA,0.672952925672987,NA,1.02293477692953,0.691088178950762,0.667552321642397,0.504832251973911,0.712651384113124,0.579181229418141,0.908578331821831,0.546524719800451
"130",10007,NA,0.483090081386879,-0.25637573291457,0.706378157225529,NA,-1.99956322962359,-1.78349790919308,0.70163905622296,NA,NA,-0.991100966757019,0.506757098967325,NA,0.495356383689743,0.778623632591174,NA,NA,NA
"173",10008,NA,0.453197226111084,-0.25637573291457,0.706378157225529,NA,0.738317807054837,0.743884441070617,NA,NA,NA,NA,NA,NA,0.509570186115995,NA,NA,NA,NA
"216",10011,NA,0.358536517737734,-0.25637573291457,-0.908294711350247,-0.933391258268663,0.574718588694438,-0.260871764725985,NA,0.672952925672987,-1.21870819062824,NA,0.645005408954903,-0.0824425964310848,0.083156113328448,0.573376637326128,0.390878272654379,-1.14779237745878,-0.18481463613327
"259",10012,NA,-2.37665973999749,0.329417087179217,-0.111722762852864,0.449739889172586,-1.99956322962359,-1.78349790919308,-1.35582400543475,0.443035039771501,NA,NA,0.679567486451797,-1.4935155093013,0.509570186115995,0.774958507675727,0.643284363635592,-1.14779237745878,NA
"302",10016,NA,0.478107938840914,0.0822857412021505,-0.111722762852864,NA,0.670953423024085,-1.78349790919308,NA,-0.0228512027130896,NA,1.02293477692953,0.698768640616738,0.721675666245638,0.504832251973911,0.778623632591174,-1.63237690108392,0.934100663319995,0.546524719800451
"345",10018,NA,-0.767427697650538,-0.164845604774916,0.713554481085865,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21000401144014,NA,NA,NA,NA
"388",10019,NA,0.478107938840914,0.210427920597666,0.706378157225529,NA,0.526601171529615,-1.78349790919308,0.768247572607562,-1.36000522335068,NA,0.956268088549666,0.62964448562295,0.58250135155159,0.481142581263492,0.749302633267596,-1.63237690108392,-1.14779237745878,NA
"431",10021,NA,-2.37665973999749,0.420947215318871,-0.111722762852864,NA,0.642082972725191,0.690769575565951,-1.35582400543475,NA,NA,NA,NA,NA,-2.21000401144014,-1.32515806887555,NA,NA,NA
"474",10022,NA,0.483090081386879,0.0822857412021505,0.706378157225529,NA,NA,0.659785904021562,0.738643787547739,NA,NA,NA,NA,NA,0.485880515405575,NA,NA,NA,NA
"517",10023,NA,0.468143653748982,-0.00924438693750368,-0.111722762852864,NA,0.0598622250308322,-0.260871764725985,NA,-0.694453448372694,0.776121949579333,1.02293477692953,0.702608871449727,0.713943759873746,0.495356383689743,0.774958507675727,0.595207012972504,0.934100663319995,0.546524719800451
"560",10024,NA,0.483090081386879,-0.25637573291457,-0.908294711350247,NA,-1.99956322962359,-1.78349790919308,NA,0.666902454991369,NA,-0.991100966757019,-1.50168362668554,0.725541619431584,0.504832251973911,0.774958507675727,0.555142554086597,0.926808568606234,-1.38835735574073
"603",10029,NA,0.428286513381255,0.439253240946802,-0.908294711350247,NA,0.281202343989018,0.712900769526228,0.712740475620394,0.672952925672987,NA,NA,0.691088178950762,0.690748040758072,0.419549437416402,0.767628257844833,0.663316593078546,0.839303432041101,-1.38835735574073
"646",10032,NA,0.483090081386879,0.201274907783701,0.706378157225529,NA,0.72388258190539,-1.78349790919308,0.749745206945173,NA,NA,NA,NA,NA,0.485880515405575,NA,NA,NA,NA
"689",10033,NA,0.478107938840914,0.0182146515043926,-0.908294711350247,NA,0.550659880112027,0.717327008318284,NA,0.672952925672987,-1.21870819062824,-0.991100966757019,-1.50168362668554,0.725541619431584,0.438501173984737,0.756632883098491,0.635271471858411,0.839303432041101,0.540766142194674
"732",10034,NA,0.368500802829666,0.201274907783701,-0.908294711350247,NA,-1.99956322962359,-1.78349790919308,-1.35582400543475,NA,NA,-0.991100966757019,0.62964448562295,NA,0.391121832563898,0.643014010719626,NA,NA,NA
"775",10035,NA,0.483090081386879,0.366029138435078,0.706378157225529,0.43576886748126,0.329319761153841,0.593392322140729,0.768247572607562,-1.36000522335068,NA,-0.991100966757019,0.702608871449727,0.721675666245638,-2.21000401144014,0.778623632591174,-1.63237690108392,-1.14779237745878,NA
"818",10036,NA,-2.37665973999749,0.201274907783701,0.706378157225529,NA,-1.99956322962359,0.730605724694451,-1.35582400543475,0.672952925672987,NA,NA,-1.50168362668554,-1.4935155093013,-2.21000401144014,0.778623632591174,0.635271471858411,-1.14779237745878,NA
"861",10038,NA,-2.37665973999749,-0.164845604774916,0.706378157225529,NA,0.670953423024085,0.673064620397729,NA,NA,NA,NA,0.679567486451797,0.706211853501855,0.509570186115995,0.778623632591174,0.627258580081229,0.810135053186057,NA
"904",10039,0.578481470768904,0.468143653748982,0.292805035923355,0.706378157225529,NA,0.675765164740567,0.664212142813618,NA,0.666902454991369,0.891279741658355,1.02293477692953,0.702608871449727,-1.4935155093013,0.395859766705982,0.738307258521254,0.647290809524183,0.923162521249353,-0.115711704863942
"947",10040,NA,0.483090081386879,-0.25637573291457,-0.908294711350247,NA,0.329319761153841,-0.30513415264654,NA,-1.36000522335068,0.809554856957114,NA,0.668046793952832,0.721675666245638,0.504832251973911,0.767628257844833,0.575174783529551,0.915870426535592,-1.38835735574073
"990",10044,NA,0.483090081386879,0.201274907783701,0.706378157225529,NA,NA,NA,0.757146153210129,NA,NA,-0.991100966757019,-1.50168362668554,NA,0.509570186115995,NA,NA,NA,NA
"1033",10045,NA,-2.37665973999749,0.0548267027602543,0.706378157225529,NA,-1.99956322962359,-1.78349790919308,0.738643787547739,NA,NA,NA,NA,NA,0.509570186115995,-1.32515806887555,NA,NA,NA
"1076",10046,NA,-2.37665973999749,0.247039971853528,0.706378157225529,NA,-1.99956322962359,-1.78349790919308,NA,NA,NA,1.00539091156641,0.54131917646422,0.686882087572126,0.438501173984737,0.760298008013938,0.555142554086597,0.868471810896145,NA
"1119",10047,NA,0.478107938840914,-0.25637573291457,0.706378157225529,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504832251973911,NA,NA,NA,NA
"1162",10049,NA,0.478107938840914,-0.25637573291457,-0.111722762852864,0.687247257925124,0.66132993959112,0.757163157446784,-1.35582400543475,0.672952925672987,NA,NA,-1.50168362668554,-1.4935155093013,-2.21000401144014,-1.32515806887555,NA,NA,NA
"1205",10051,NA,-0.607999136179632,0.0548267027602543,0.706378157225529,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485880515405575,NA,NA,NA,NA
"1248",10052,NA,-0.144659879404812,-0.25637573291457,0.713554481085865,NA,0.512165946380169,-0.694643166347426,0.638731012970836,NA,NA,NA,NA,NA,-0.0542439767919837,NA,NA,NA,NA
"1291",10055,NA,-2.37665973999749,0.0822857412021505,-0.111722762852864,NA,-1.99956322962359,-1.78349790919308,NA,0.672952925672987,NA,NA,-1.50168362668554,-1.4935155093013,-2.21000401144014,-1.32515806887555,-1.63237690108392,-1.14779237745878,0.546524719800451
"1334",10056,NA,0.45817936865705,-0.25637573291457,0.713554481085865,NA,0.709447356755943,-0.694643166347426,NA,-0.0228512027130896,NA,-0.991100966757019,-1.50168362668554,-1.4935155093013,0.419549437416402,0.756632883098491,0.643284363635592,0.700753632479642,-0.115711704863942
"1377",10058,NA,0.343590090099837,-0.25637573291457,-0.111722762852864,NA,0.646894714441673,NA,NA,NA,NA,NA,NA,NA,0.357956293569311,NA,NA,NA,NA
"1420",10059,NA,0.438250798473187,0.420947215318871,0.706378157225529,NA,NA,0.730605724694451,0.727542368150306,NA,NA,NA,NA,NA,0.419549437416402,-1.32515806887555,NA,NA,NA
"1463",10061,NA,0.483090081386879,-9.13741235382581e-05,-0.111722762852864,-0.0671879134064666,-1.61943563402149,0.358801666161787,0.712740475620394,0.660851984309751,NA,-0.991100966757019,0.579721484794102,-1.4935155093013,0.495356383689743,0.723646758859465,0.519084541089281,-1.14779237745878,NA
"1506",10062,NA,-0.144659879404812,-0.25637573291457,-0.111722762852864,NA,-1.99956322962359,-1.78349790919308,NA,NA,NA,NA,NA,NA,-1.83570721421551,NA,NA,NA,NA
"1549",10065,NA,0.478107938840914,0.0548267027602543,0.706378157225529,NA,0.762376515637248,0.757163157446784,0.70163905622296,0.666902454991369,NA,-0.991100966757019,0.664206563119844,0.68301613438618,0.495356383689743,0.778623632591174,0.627258580081229,NA,NA
"1592",10069,NA,0.483090081386879,-0.25637573291457,0.706378157225529,NA,-1.99956322962359,-1.67726817818375,-1.35582400543475,NA,NA,NA,-1.50168362668554,NA,0.509570186115995,0.778623632591174,NA,NA,NA
"1635",10073,NA,0.45817936865705,0.0548267027602543,-0.111722762852864,NA,-1.77822311066541,-1.03988979212776,0.664634324898181,NA,NA,NA,NA,NA,0.495356383689743,0.760298008013938,NA,NA,NA
"1678",10078,NA,0.308715092278076,0.301958048737321,-0.111722762852864,0.114435368580768,0.156097059360478,0.526998740259897,0.731242841282783,0.672952925672987,0.724115204769452,0.994864592348537,0.645005408954903,-1.4935155093013,0.46692877883724,0.767628257844833,0.567161891752369,0.817427147899818,-1.38835735574073
"1721",10079,NA,0.483090081386879,0.375182151249044,-0.111722762852864,NA,-1.77822311066541,0.650933426437451,0.768247572607562,0.672952925672987,NA,-0.991100966757019,-1.50168362668554,0.628892789782939,0.495356383689743,0.774958507675727,-1.63237690108392,-1.14779237745878,NA
"1764",10083,NA,-2.37665973999749,0.384335164063009,-0.111722762852864,-0.933391258268663,NA,NA,NA,0.672952925672987,NA,NA,0.698768640616738,-1.4935155093013,-2.21000401144014,-1.32515806887555,-1.63237690108392,-1.14779237745878,NA
"1807",10085,NA,0.443232941019153,0.274499010295424,-0.908294711350247,-0.933391258268663,NA,NA,0.749745206945173,-1.36000522335068,-1.08869132860354,0.987847046203288,0.664206563119844,0.65595446208456,0.419549437416402,0.778623632591174,0.539116770532234,0.853887621468623,0.546524719800451
