"","Provider.ID","MORT_30_AMI_denominator","MORT_30_CABG_denominator","MORT_30_COPD_denominator","MORT_30_HF_denominator","MORT_30_PN_denominator","MORT_30_STK_denominator","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_denominator","PSI_4_SURG_COMP_score"
"1",10001,32,201,252,31,62,61,2408,1247,2167,2507,2192,2012,675,2068
"2",10005,67,NA,235,62,125,62,2176,NA,2141,1629,2646,1174,4996,2141
"3",10006,74,200,230,63,89,86,1578,413,2216,2359,2597,1385,527,2180
"4",10007,NA,NA,252,51,95,73,NA,NA,108,2727,891,1478,NA,NA
"5",10008,NA,NA,241,34,64,NA,NA,NA,1577,1167,2288,NA,NA,NA
"6",10011,46,195,233,45,86,33,1156,357,1072,1506,2195,669,444,1931
"7",10012,75,NA,251,32,183,65,566,NA,737,521,1357,2007,NA,NA
"8",10016,54,194,240,47,68,65,894,2194,1093,1697,1829,792,7182,1897
"9",10018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10019,63,NA,246,36,98,61,1514,NA,1763,1594,1948,566,3239,1269
"11",10021,NA,NA,223,29,50,72,NA,NA,141,2665,582,1112,NA,NA
"12",10022,NA,NA,236,65,65,NA,NA,NA,2555,1670,205,NA,NA,NA
"13",10023,41,204,250,42,71,71,1380,652,935,1837,1045,1468,922,2102
"14",10024,55,207,254,13,94,41,1161,914,1626,1935,2205,1187,742,2078
"15",10029,62,203,239,28,95,51,1209,582,1724,2222,2201,1484,297,1723
"16",10032,NA,NA,241,12,65,NA,NA,NA,2324,1882,2594,NA,NA,NA
"17",10033,31,110,230,12,56,96,1509,1161,1075,2051,2319,1900,5426,1523
"18",10034,NA,NA,229,253,37,54,NA,NA,2568,2760,614,1167,NA,NA
"19",10035,64,NA,242,32,119,75,141,NA,1221,1849,2319,658,4550,929
"20",10036,NA,NA,231,22,58,39,NA,NA,857,582,1492,462,NA,NA
"21",10038,52,NA,223,28,54,51,2450,NA,1082,471,871,2027,NA,NA
"22",10039,38,5,242,24,94,86,81,2132,2,499,711,82,4020,2105
"23",10040,57,195,234,45,94,46,862,288,1815,1900,2403,1366,1751,788
"24",10044,NA,NA,225,21,46,NA,NA,NA,2404,1670,652,NA,NA,NA
"25",10045,NA,NA,235,14,81,46,NA,NA,548,2543,810,1743,NA,NA
"26",10046,66,189,237,22,84,54,2464,1854,1290,1216,1526,87,6631,1208
"27",10047,NA,NA,231,NA,53,NA,NA,NA,2105,NA,176,NA,NA,NA
"28",10049,NA,NA,23,43,104,54,NA,NA,1017,235,803,2450,NA,NA
"29",10051,NA,NA,251,11,71,NA,NA,NA,1854,1824,1478,NA,NA,NA
"30",10052,NA,NA,234,26,67,NA,NA,NA,1959,1112,338,NA,NA,NA
"31",10055,77,194,16,49,51,71,1552,374,1484,1909,2039,1376,675,2179
"32",10056,62,212,241,34,46,48,1228,328,1629,1876,2410,1782,1936,1983
"33",10058,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,2568,NA,NA,NA
"34",10059,52,NA,233,29,57,48,1167,NA,2555,2105,652,1547,NA,NA
"35",10061,NA,NA,239,28,70,61,NA,NA,1328,423,1492,2088,NA,NA
"36",10062,NA,NA,242,54,73,NA,NA,NA,328,2568,750,NA,NA,NA
"37",10065,54,NA,229,33,98,56,2259,NA,728,1005,1567,2370,3142,827
"38",10069,NA,NA,245,30,80,56,NA,NA,2340,2497,235,1704,NA,NA
"39",10073,NA,NA,242,34,84,NA,NA,NA,2749,2229,318,NA,NA,NA
"40",10078,49,188,227,42,92,56,1539,164,1831,2050,2080,949,1664,1932
"41",10079,NA,NA,252,31,95,59,NA,NA,1290,728,1380,2404,NA,NA
"42",10083,49,NA,238,19,48,68,27,NA,1290,1328,1578,488,4066,1393
"43",10085,52,NA,226,31,99,64,176,NA,1903,2072,2452,1225,5411,2173
"44",10086,NA,NA,230,20,59,61,NA,NA,614,2623,1156,1882,NA,NA
"45",10087,NA,NA,235,NA,NA,89,NA,NA,1112,NA,NA,1796,4066,1516
"46",10089,34,NA,250,38,94,51,2568,NA,1521,885,1545,2582,3044,1122
"47",10090,74,216,228,56,70,73,1045,591,1698,2039,2289,1216,675,2158
