"","Provider.ID","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_score"
"1",10001,2408,1247,2167,2507,2192,2012,2068
"2",10005,2176,NA,2141,1629,2646,1174,2141
"3",10006,1578,413,2216,2359,2597,1385,2180
"4",10007,NA,NA,108,2727,891,1478,NA
"5",10008,NA,NA,1577,1167,2288,NA,NA
"6",10011,1156,357,1072,1506,2195,669,1931
"7",10012,566,NA,737,521,1357,2007,NA
"8",10016,894,2194,1093,1697,1829,792,1897
"9",10018,NA,NA,NA,NA,NA,NA,NA
"10",10019,1514,NA,1763,1594,1948,566,1269
"11",10021,NA,NA,141,2665,582,1112,NA
"12",10022,NA,NA,2555,1670,205,NA,NA
"13",10023,1380,652,935,1837,1045,1468,2102
"14",10024,1161,914,1626,1935,2205,1187,2078
"15",10029,1209,582,1724,2222,2201,1484,1723
"16",10032,NA,NA,2324,1882,2594,NA,NA
"17",10033,1509,1161,1075,2051,2319,1900,1523
"18",10034,NA,NA,2568,2760,614,1167,NA
"19",10035,141,NA,1221,1849,2319,658,929
"20",10036,NA,NA,857,582,1492,462,NA
"21",10038,2450,NA,1082,471,871,2027,NA
"22",10039,81,2132,2,499,711,82,2105
"23",10040,862,288,1815,1900,2403,1366,788
"24",10044,NA,NA,2404,1670,652,NA,NA
"25",10045,NA,NA,548,2543,810,1743,NA
"26",10046,2464,1854,1290,1216,1526,87,1208
"27",10047,NA,NA,2105,NA,176,NA,NA
"28",10049,NA,NA,1017,235,803,2450,NA
"29",10051,NA,NA,1854,1824,1478,NA,NA
"30",10052,NA,NA,1959,1112,338,NA,NA
"31",10055,1552,374,1484,1909,2039,1376,2179
"32",10056,1228,328,1629,1876,2410,1782,1983
"33",10058,NA,NA,NA,NA,2568,NA,NA
"34",10059,1167,NA,2555,2105,652,1547,NA
"35",10061,NA,NA,1328,423,1492,2088,NA
"36",10062,NA,NA,328,2568,750,NA,NA
"37",10065,2259,NA,728,1005,1567,2370,827
"38",10069,NA,NA,2340,2497,235,1704,NA
"39",10073,NA,NA,2749,2229,318,NA,NA
"40",10078,1539,164,1831,2050,2080,949,1932
"41",10079,NA,NA,1290,728,1380,2404,NA
"42",10083,27,NA,1290,1328,1578,488,1393
"43",10085,176,NA,1903,2072,2452,1225,2173
"44",10086,NA,NA,614,2623,1156,1882,NA
"45",10087,NA,NA,1112,NA,NA,1796,1516
"46",10089,2568,NA,1521,885,1545,2582,1122
"47",10090,1045,591,1698,2039,2289,1216,2158
"48",10091,NA,NA,2370,2418,2370,NA,NA
"49",10092,1940,669,67,2692,549,2510,1577
"50",10095,NA,NA,NA,NA,2324,NA,NA
"51",10097,NA,NA,1854,1854,2387,NA,NA
"52",10099,1514,NA,2623,2623,905,1431,NA
"53",10100,606,658,598,1328,1591,900,1537
"54",10101,1257,NA,225,63,130,2105,NA
"55",10102,NA,NA,NA,NA,2088,NA,NA
"56",10103,1113,759,1247,1732,1737,1238,1580
"57",10104,1045,2418,847,1107,1134,566,2138
"58",10108,1347,NA,935,365,1063,2259,NA
"59",10109,NA,NA,1905,1882,338,NA,NA
"60",10110,NA,NA,1984,1215,1514,NA,NA
"61",10112,NA,NA,2450,2370,245,NA,NA
"62",10113,1063,395,1917,2272,2616,1716,1210
"63",10114,2305,NA,703,566,1319,2481,1879
"64",10118,385,NA,852,1238,942,205,844
"65",10120,NA,NA,2063,2606,766,1391,NA
"66",10125,NA,NA,1209,2555,1948,2154,NA
"67",10126,NA,NA,1,2387,235,1640,NA
"68",10128,NA,NA,1824,1347,2194,NA,NA
"69",10129,NA,NA,2288,2088,614,1167,NA
"70",10130,1112,NA,130,87,1371,1640,NA
"71",10131,816,NA,1626,1583,1993,862,1291
"72",10138,NA,NA,NA,NA,NA,NA,NA
"73",10139,1385,847,1251,1817,2222,1060,1606
"74",10144,566,2246,1251,1720,1651,557,1593
"75",10146,NA,NA,2340,1391,75,NA,NA
"76",10148,NA,NA,1192,225,196,2176,NA
"77",10149,2450,NA,1012,1290,1559,2464,NA
"78",10150,NA,NA,2481,2582,2701,NA,NA
"79",10157,NA,NA,2727,2450,683,1704,NA
