"","Provider.ID","HAI_1_SIR","HAI_1a_SIR","HAI_2_SIR","HAI_2a_SIR","HAI_3_SIR","HAI_4_SIR","HAI_5_SIR","HAI_6_SIR","COMP_HIP_KNEE","PSI_90_SAFETY"
"1",10001,1741,8244,1428,8118,1871,1,423,788,2388,66
"2",10005,1063,649,457,699,387,NA,1389,406,2300,83
"3",10006,342,444,642,802,311,NA,1262,514,2388,89
"4",10007,NA,NA,1,NA,NA,NA,NA,1,NA,77
"5",10008,NA,NA,NA,NA,NA,NA,NA,586,NA,88
"6",10011,558,336,396,253,1429,1,886,701,2377,97
"7",10012,NA,NA,1,1,NA,NA,NA,226,2270,88
"8",10016,365,237,352,161,724,NA,1581,759,2270,78
"9",10018,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"10",10019,698,902,90,1,424,NA,1789,372,181,96
"11",10021,NA,NA,1,NA,NA,NA,NA,243,2399,99
"12",10022,NA,NA,NA,NA,NA,NA,NA,1,NA,83
"13",10023,1127,808,812,903,1244,927,8154,913,2193,57
"14",10024,1750,1457,706,832,613,8145,12160,950,2193,75
"15",10029,765,1035,334,344,371,1768,994,634,2344,60
"16",10032,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"17",10033,858,742,309,328,998,769,1263,818,2344,79
"18",10034,NA,NA,660,NA,NA,NA,NA,870,NA,99
"19",10035,176,1,491,255,614,NA,1934,204,2237,62
"20",10036,NA,NA,1,1,NA,NA,NA,280,2248,100
"21",10038,NA,NA,869,NA,NA,NA,NA,617,2300,85
"22",10039,1109,1239,572,558,1465,564,579,590,2193,72
"23",10040,291,232,149,183,1,1,551,439,2410,96
"24",10044,NA,NA,NA,NA,NA,NA,NA,1,NA,87
"25",10045,NA,NA,1147,NA,NA,NA,NA,1678,NA,87
"26",10046,1,1,1232,1747,542,NA,574,646,2366,70
"27",10047,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"28",10049,NA,NA,1,NA,NA,937,NA,491,2226,75
"29",10051,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"30",10052,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"31",10055,441,462,707,855,1460,832,429,808,2344,78
"32",10056,374,442,241,214,447,868,1501,886,2270,103
"33",10058,NA,NA,NA,NA,NA,NA,NA,1,NA,88
"34",10059,NA,NA,1,NA,NA,NA,NA,1382,NA,88
"35",10061,696,NA,911,1,NA,NA,NA,286,2300,82
"36",10062,NA,NA,NA,NA,NA,NA,NA,1,NA,87
"37",10065,1,NA,1,1,NA,NA,NA,417,2333,112
"38",10069,NA,NA,569,NA,NA,NA,NA,1,NA,79
"39",10073,NA,NA,900,NA,NA,NA,NA,1,NA,80
"40",10078,325,1,661,1008,1,NA,788,636,2476,112
"41",10079,1405,NA,698,1,1,NA,NA,867,2281,85
"42",10083,1,1,183,368,1186,NA,717,412,2237,98
"43",10085,373,1,391,582,1547,1,374,297,2311,113
"44",10086,NA,NA,1258,NA,NA,NA,NA,250,NA,76
"45",10087,1293,915,635,498,8190,NA,11874,562,NA,85
"46",10089,604,879,235,773,1,NA,911,939,2226,73
"47",10090,535,513,251,270,863,1,1049,857,2333,109
"48",10091,NA,NA,NA,NA,NA,NA,NA,636,NA,86
"49",10092,856,505,424,361,837,526,466,667,2344,88
"50",10095,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
"51",10097,NA,NA,NA,NA,NA,NA,NA,1,NA,83
"52",10099,NA,NA,1111,NA,NA,NA,NA,800,NA,98
"53",10100,445,402,622,442,1267,NA,1328,273,2344,81
"54",10101,NA,NA,1,NA,NA,NA,NA,1,NA,88
"55",10102,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"56",10103,1298,1598,684,593,174,NA,14998,918,2248,79
"57",10104,467,164,535,467,1,NA,1701,192,2443,114
"58",10108,1,NA,1,1,1,NA,NA,978,NA,85
"59",10109,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"60",10110,NA,NA,NA,NA,NA,NA,NA,1,NA,84
